NOME	REGIME	ANO	NUMERO	CURSO
Francisco Ferreira	Trabalhador-estudante	2	4433	EM
Cecilia Pereira	Trabalhador-estudante	2	5176	GI
Stella Rodrigues	Trabalhador-estudante	3	3381	EE
Leandro Lima	Normal	1	4578	EM
Thiago Correia	Normal	3	4364	MKT
Ana Luiza Costa	Normal	2	5048	CONT
Lais da Luz	Normal	1	5424	EC
Giovanna Ribeiro	Trabalhador-estudante	2	5299	EM
Gabriela da Luz	Trabalhador-estudante	3	3215	EE
Eduarda Mendes	Trabalhador-estudante	2	4683	MKT
Lucas Gabriel Novaes	Trabalhador-estudante	2	5266	TDM
Diogo Peixoto	Trabalhador-estudante	2	4474	GI
Agatha Farias	Trabalhador-estudante	3	5895	EM
Antonio Correia	Trabalhador-estudante	1	3808	GE
Rodrigo da Rocha	Trabalhador-estudante	1	5627	EE
Catarina Azevedo	Dasaga	2	3824	TDMO
Juliana Castro	Normal	2	3300	EI
Maria Sophia Sales	Normal	2	4278	EI
Eduarda Nunes	Normal	3	5987	TDM
Agatha Jesus	Trabalhador-estudante	1	3258	GI
Joana Araujo	Dirigente associativo	1	4065	EM
Maria Vitoria Moura	Normal	2	3760	CONT
Kamilly Alves	Normal	3	4920	TUR
Diego da Mota	Normal	2	3666	EA
Maria Vitoria Moura	Normal	1	5447	EI
Ana Vitoria Cardoso	Normal	1	4858	GE
Eduardo Mendes	Normal	2	5829	EA
Lucas Gabriel da Paz	Normal	2	3334	GI
Erick Ramos	Normal	2	3433	CONT
Vitor Hugo Silva	Normal	2	3491	EM
Lucas Gabriel Silva	Normal	1	5314	EC
Daniela da Mota	Normal	2	3104	GI
Joao Pedro Mendes	Normal	3	4817	TUR
Ana Carolina Fogaca	Normal	1	5102	TDMO
Davi Lucas Monteiro	Normal	1	3097	TUR
Valentina Monteiro	Normal	1	3844	TUR
Enzo Gabriel da Rocha	Normal	2	3625	TUR
Andre Jesus	Normal	1	3796	GI
Amanda da Rocha	Normal	1	5096	EE
Caue da Luz	Normal	2	4708	EA
Marcelo Goncalves	Normal	3	5653	EE
Barbara da Rosa	Normal	1	3270	MKT
Luiz Gustavo Jesus	Normal	3	5652	GE
Ana Martins	Normal	1	4599	TUR
Davi Lucca das Neves	Normal	3	3200	EA
Yasmin Costa	Normal	3	4160	EE
Emanuella Fogaca	Normal	3	3319	EE
Danilo Porto	Normal	3	4273	GE
Carolina Fernandes	Normal	2	27500	GE
Maria Clara Cunha	Normal	1	20169	EM
Pedro Miguel Rezende	Normal	1	3424	GE
Lorenzo Dias	Normal	2	4945	EA
Eduardo da Cunha	Normal	2	4528	MKT
Melissa Fogaca	Normal	3	16724	EM
Sophie Rezende	Normal	3	3891	TDM
Otavio Alves	Normal	2	3019	TDM
Ana Carolina Novaes	Normal	2	5202	EC
Luiz Gustavo Nunes	Normal	2	3863	TDMO
Diego Ribeiro	Normal	1	4891	MKT
Enrico Aragao	Normal	1	12478	TDMO
Alicia Correia	Normal	3	4072	EI
Marcelo Nascimento	Normal	1	3531	MKT
Maria Eduarda Dias	Normal	1	3649	EC
Gabriela Rezende	Normal	3	3293	EA
Paulo Jesus	Normal	3	3986	GI
Diogo Mendes	Normal	2	5137	EE
Pietra da Rosa	Normal	2	4616	EE
Guilherme Jesus	Normal	2	4854	EE
Fernando Correia	Normal	2	4540	EA
Joao Vitor Lima	Normal	3	4435	EI
Ana Clara da Rocha	Normal	1	3091	EM
Raquel Caldeira	Normal	1	30358	MKT
Luna Souza	Normal	3	4258	GI
Murilo Pereira	Normal	1	4602	EC
Levi Jesus	Normal	2	4833	MKT
Alexandre Novaes	Normal	1	3207	GE
Laura Lopes	Normal	1	4924	TDMO
Rafael Duarte	Normal	2	5975	MKT
Daniela Correia	Normal	3	5862	TDMO
Emanuelly Nascimento	Normal	1	3153	EM
Davi Lucca Rocha	Normal	3	4710	GE
Maria Cecilia Gomes	Normal	1	4892	TDMO
Igor Novaes	Normal	1	4894	TDMO
Clarice da Mata	Normal	1	27962	TDMO
Enzo das Neves	Normal	2	4032	EC
Raul Jesus	Normal	3	5147	GE
Lucca Carvalho	Normal	1	4482	TDMO
Juliana Rezende	Normal	1	4731	EA
Calebe da Rocha	Normal	1	5765	TDM
Clarice Ramos	Normal	2	4422	CONT
Sarah Costa	Normal	1	25464	EA
Ana Julia Nunes	Normal	1	3195	CONT
Laura da Conceicao	Normal	3	3346	TUR
Igor da Costa	Normal	1	4220	TDM
Joao Miguel Rezende	Normal	1	5441	EM
Joao Guilherme Pereira	Normal	3	4828	EA
Mariane Monteiro	Normal	3	4666	MKT
Raul da Paz	Normal	2	5855	EE
Joaquim da Luz	Normal	2	3294	GI
Diogo Cardoso	Normal	1	5327	EC
Maria Eduarda Monteiro	Normal	2	4150	GI
Ana Laura Dias	Normal	3	3077	GI
Emanuelly Carvalho	Normal	1	3819	EE
Lucca Alves	Normal	1	6705	GI
Thales Barbosa	Normal	3	4944	GE
Enzo Gabriel Pires	Normal	2	3932	GE
Maria Julia Araujo	Normal	3	5024	MKT
Marcelo Gomes	Normal	3	3306	EE
Maria Luiza Fogaca	Normal	2	29145	TUR
Vitoria Moura	Normal	1	3699	CONT
Yasmin Rodrigues	Normal	2	4937	TUR
Diogo Goncalves	Normal	2	5802	EM
Carlos Eduardo Freitas	Normal	2	5498	MKT
Bernardo Gomes	Normal	2	5488	TDMO
Maria Eduarda Caldeira	Normal	3	3262	EE
Rebeca Lopes	Normal	2	5989	MKT
Heitor Barbosa	Normal	2	3379	TUR
Levi Ribeiro	Normal	1	3919	EC
Maria Eduarda da Cruz	Normal	2	3937	MKT
Ana Sophia da Mata	Normal	3	4296	CONT
Joao Lucas Rezende	Normal	3	24281	EA
Otavio Costela	Normal	3	5900	EE
Renan Costela	Normal	1	3067	EA
Miguel Pires	Normal	2	17827	TUR
Rafael Caldeira	Normal	2	4772	EC
Isadora Barbosa	Normal	1	4575	TDMO
Heloisa Pereira	Trabalhador-estudante	3	10961	TDM
Carlos Eduardo Mendes	Trabalhador-estudante	3	5957	EA
Isis da Conceicao	Trabalhador-estudante	3	5180	EM
Danilo Aragao	Trabalhador-estudante	3	4246	CONT
Maria Fernanda Silva	Trabalhador-estudante	1	5850	GE
Isabella Ramos	Trabalhador-estudante	3	4447	TUR
Maria Luiza Rocha	Trabalhador-estudante	3	4221	EM
Isadora Costela	Trabalhador-estudante	3	4791	GI
Amanda Ribeiro	Trabalhador-estudante	2	4685	TDM
Alana Cardoso	Trabalhador-estudante	3	3233	EM
Maria Sophia Dias	Trabalhador-estudante	3	5495	EE
Stella Souza	Trabalhador-estudante	1	1491	EC
Fernando Pires	Trabalhador-estudante	1	4314	EM
Beatriz Barros	Trabalhador-estudante	2	5551	EI
Davi Porto	Trabalhador-estudante	1	5039	EE
Kevin Novaes	Trabalhador-estudante	1	3302	MKT
Joao Lucas Novaes	Trabalhador-estudante	3	4907	TDMO
Larissa Costa	Fdsgd	1	3520	MKT
Lucca Fogaca	Erasmus	2	3840	EM
Maysa Monteiro	Erasmus	3	3759	GI
Amanda Pinto	Erasmus	2	4809	TDMO
Kaique Dias	Normal	1	3357	GE
Joao Felipe Araujo	Normal	3	3677	TDM
Davi Luiz da Luz	Normal	3	3931	MKT
Juan Santos	Normal	3	4068	GE
Marina Barros	Normal	2	5899	TDMO
Luiz Felipe Rocha	Normal	2	3995	TUR
Alana Pereira	Normal	3	3643	EE
Danilo Fogaca	Normal	2	5617	TDM
Danilo da Rocha	Normal	3	3920	EA
Marina da Rosa	Normal	1	3174	CONT
Marcos Vinicius Novaes	Normal	2	3149	EA
Vicente Costa	Erasmus	1	12942	EM
Lais Carvalho	Normal	2	3187	TDMO
Caue Rezende	Normal	3	4612	EE
Luna Peixoto	Normal	3	4158	CONT
Alexandre Mendes	Normal	3	3236	EM
Ana Sophia Melo	Normal	3	4424	GI
Yuri Cardoso	Normal	2	3839	GI
Eduarda Lopes	Normal	3	3899	MKT
Rafaela da Cruz	Normal	1	3410	TDM
Marcela da Rosa	Normal	3	3943	TUR
Pietra Goncalves	Normal	3	4997	CONT
Maria Fernanda Lopes	Normal	1	5016	TDMO
Camila da Costa	Normal	2	4426	EM
Nathan Novaes	Normal	1	3634	GE
Maria Alice Teixeira	Normal	1	5077	EC
Enrico Monteiro	Normal	1	3416	EI
Alicia Viana	Normal	1	5658	CONT
Elisa Lima	Normal	2	5494	EE
Paulo Novaes	Normal	2	4043	TDM
Thiago da Cruz	Normal	1	3543	TDM
Lavinia Barbosa	Normal	1	5469	EE
Eduarda Lima	Normal	3	5398	GI
Rodrigo Campos	Normal	1	5238	TDMO
Maysa da Luz	Normal	1	5825	CONT
Pietra da Luz	Normal	3	3211	CONT
Maria Vitoria da Luz	Normal	2	5419	TUR
Ana Sophia Rezende	Normal	2	5758	EM
Kaique da Rocha	Normal	3	3913	MKT
Vitor Gabriel Peixoto	Normal	1	5827	TDMO
Sabrina Peixoto	Normal	1	4694	CONT
Thomas Novaes	Normal	1	3110	TDMO
Luiz Fernando da Luz	Normal	1	3057	EI
Vinicius Caldeira	Normal	1	6436	EC
Davi Duarte	Normal	1	4609	TDM
Bryan Rocha	Normal	1	4507	EC
Alice Correia	Normal	3	5759	GI
Esther Costa	Normal	2	5116	EM
Clara Sales	Normal	2	4884	TDMO
Pietra Cunha	Normal	2	3038	TUR
Noah Pires	Normal	2	5995	TUR
Luana Lima	Normal	2	4794	EA
Diego Fogaca	Normal	1	5411	TDM
Raquel Silva	Normal	2	5260	TUR
Theo Peixoto	Normal	3	4269	EI
Mariane Mendes	Normal	2	5464	EI
Julia Costa	Normal	3	3802	MKT
Fernanda da Rosa	Normal	3	3532	EI
Isaac Fogaca	Normal	2	33391	EE
Lara Campos	Normal	3	3823	GI
Caue Sales	Normal	2	15604	EE
Vitor Gabriel Nogueira	Normal	3	4125	TUR
Ana Julia Goncalves	Normal	2	5097	GE
Clara Costa	Normal	2	3249	EM
Ana da Cunha	Normal	2	5884	EI
Maysa da Mota	Normal	2	3780	GI
Eduardo Souza	Normal	2	4902	MKT
Maysa Nogueira	Normal	1	4361	EM
Isaac da Rocha	Normal	1	4936	EE
Lavinia Monteiro	Normal	2	3036	GI
Diego Pereira	Normal	1	5879	EA
Ana Luiza Almeida	Normal	2	3426	TDMO
Levi Caldeira	Normal	2	3511	EI
Elisa Lopes	Normal	2	4017	EC
Davi Luiz da Cruz	Normal	1	3572	CONT
Isabel Goncalves	Normal	1	3105	EC
Maria Fernanda Duarte	Normal	1	4657	CONT
Joaquim Nogueira	Normal	1	5690	EE
Gabriela da Luz	Normal	1	5120	CONT
Larissa Moura	Normal	3	3417	GI
Joao Miguel da Luz	Normal	3	3370	TDMO
Isadora Silveira	Normal	1	4984	GE
Diego Caldeira	Normal	2	3720	TDMO
Maria Eduarda Santos	Normal	1	3830	EI
Natalia Ramos	Normal	2	5501	GE
Anthony Barbosa	Normal	3	5779	TUR
Enzo Gabriel Ribeiro	Normal	1	4627	EC
Arthur Cavalcanti	Normal	2	5951	GI
Murilo Cardoso	Normal	3	3925	TDMO
Manuela Costela	Normal	2	3756	EC
Pietro Cavalcanti	Normal	2	4600	CONT
Beatriz Monteiro	Normal	2	1153	GE
Sophie Teixeira	Normal	1	1292	GE
Renan Nogueira	Normal	2	5780	GI
Leandro da Mata	Normal	2	5003	CONT
Caue da Paz	Normal	2	3909	TDM
Isaac Almeida	Normal	1	13382	TDM
Rodrigo da Conceicao	Normal	1	4492	GE
Matheus Dias	Normal	1	3805	MKT
Vinicius Moraes	Normal	2	5151	MKT
Lucas Gabriel Costela	Normal	3	3904	TDM
Ana Julia Silveira	Normal	3	3590	CONT
Renan Vieira	Normal	2	18421	EI
Lorena Nunes	Normal	1	4391	EE
Isaac Teixeira	Normal	3	3098	EA
Pedro Miguel da Mota	Normal	1	3528	CONT
Luiz Gustavo Costa	Normal	2	19716	CONT
Diogo Silva	Normal	2	5885	GE
Stephany Moreira	Normal	2	3488	TUR
Maria Vitoria Farias	Normal	2	5950	TUR
Luna da Cunha	Normal	2	20718	MKT
Marina Pinto	Normal	1	5062	TDM
Livia da Paz	Normal	1	3264	EA
Bruno Freitas	Normal	2	4558	EM
Amanda Barros	Normal	3	5296	TDM
Emanuel Cavalcanti	Normal	3	3325	TDMO
Lavinia Silveira	Normal	1	4608	EA
Fernando Rocha	Normal	3	4661	TDMO
Paulo Santos	Normal	1	5669	EA
Ana Laura Cunha	Normal	2	3131	TDM
Arthur Fernandes	Normal	3	4090	TDMO
Amanda Nunes	Normal	3	4214	CONT
Pietra da Rosa	Normal	1	4742	MKT
Enrico Barros	Normal	3	5442	MKT
Joao Miguel Lopes	Normal	3	3043	GE
Lavinia Lopes	Normal	3	5131	TDMO
Pedro Henrique Sales	Normal	1	20895	EE
Pietro Pires	Normal	1	3011	MKT
Bianca Moraes	Normal	1	5524	EI
Davi Lucca Farias	Normal	3	5569	EC
Maria Sophia Pereira	Normal	2	5602	TDMO
Eduarda Cardoso	Normal	3	3108	CONT
Isabella Moura	Normal	1	3177	TDMO
Antonio Sales	Normal	2	3890	EC
Levi Silveira	Normal	2	5514	CONT
Melissa Fogaca	Normal	3	5744	TDMO
Maria Jesus	Normal	1	5612	GE
Ian Pires	Normal	1	3470	EI
Maria Vitoria da Mata	Normal	2	4861	TUR
Bruna Silveira	Normal	2	5766	EC
Joao Felipe Pinto	Normal	3	4257	TDM
Guilherme Nunes	Normal	3	5110	EC
Igor da Mata	Normal	3	5582	GI
Carolina Freitas	Normal	1	5517	GI
Bianca Silveira	Normal	1	5646	TDMO
Sarah Alves	Normal	2	4196	EI
Larissa Azevedo	Normal	2	5540	TUR
Natalia da Conceicao	Normal	3	4655	GI
Bernardo Lima	Normal	1	3573	EI
Enrico Cardoso	Normal	2	4120	TDM
Agatha Ferreira	Normal	3	4163	MKT
Anthony Martins	Normal	1	4414	EI
Gustavo Porto	Normal	2	3460	EA
Olivia Freitas	Normal	1	5259	EM
Julia Pires	Normal	3	4345	EE
Joana Porto	Normal	3	5932	EI
Ian Novaes	Normal	3	5153	EC
Elisa Moura	Normal	2	6447	EM
Vitor Gabriel Rodrigues	Normal	3	4389	TDM
Bruna Teixeira	Normal	2	5974	EE
Gustavo Henrique Farias	Normal	3	5143	EM
Giovanna da Mota	Normal	1	4178	GI
Kaique Costa	Normal	2	22726	MKT
Livia Correia	Normal	3	4213	EA
Kamilly Porto	Normal	1	4530	EC
Erick Nogueira	Normal	1	3148	GE
Fernando Campos	Normal	1	5853	GI
Yuri Azevedo	Normal	1	3051	EI
Luigi Pires	Normal	3	4541	GI
Stella da Cunha	Normal	1	15771	EM
Davi Luiz Duarte	Normal	3	4523	TDMO
Ana Clara Azevedo	Normal	1	4347	GI
Guilherme das Neves	Normal	2	5145	EA
Gabrielly Dias	Normal	1	12538	TDM
Raquel Nogueira	Normal	3	4397	EI
Maria Cecilia Nascimento	Normal	3	5395	CONT
Julia da Mata	Normal	3	3607	EI
Calebe das Neves	Normal	3	3287	EC
Rebeca Alves	Normal	2	3551	EM
Thiago Viana	Normal	3	3133	TUR
Bianca Ferreira	Normal	2	3454	EA
Lavinia Sales	Normal	3	2869	TDM
Maria Clara Farias	Normal	3	3275	TUR
Vitor Cardoso	Normal	2	20912	EC
Isis Silva	Normal	1	3980	TUR
Luna Cardoso	Normal	1	26667	CONT
Livia Silveira	Normal	1	5222	TUR
Arthur Peixoto	Normal	3	3118	EM
Emanuelly Melo	Normal	1	27299	EA
Pedro Lucas Fernandes	Normal	3	18035	GI
Samuel Barros	Normal	1	3644	TDMO
Augusto Souza	Normal	1	10894	TDM
Francisco Silva	Normal	2	3579	EA
Nicolas Porto	Normal	1	4594	CONT
Lorenzo da Conceicao	Normal	3	29703	EI
Ian Moura	Normal	1	5945	CONT
Maria Clara Freitas	Normal	2	4102	CONT
Joao Guilherme Farias	Normal	1	5623	EE
Maria Eduarda Oliveira	Normal	2	5529	TDMO
Erick Rezende	Normal	2	24811	TDM
Lorena Pinto	Normal	2	4860	TDMO
Marcos Vinicius da Rocha	Normal	2	3678	GI
Valentina Fogaca	Normal	3	3147	MKT
Cecilia Rezende	Normal	2	4903	TUR
Juliana Moreira	Normal	2	3139	TUR
Bernardo Pires	Normal	1	5954	GE
Ana Teixeira	Normal	1	5849	EA
Isaac Cardoso	Normal	3	4992	EC
Benjamin da Mata	Normal	1	5506	GE
Levi Moura	Normal	3	4877	EM
Luiz Felipe da Conceicao	Normal	3	5647	TDMO
Sarah Carvalho	Normal	2	5590	TDM
Marcelo Rocha	Normal	3	5248	EI
Isis da Mata	Normal	1	4264	EC
Rodrigo Silva	Normal	1	4856	MKT
Maria Eduarda Cardoso	Normal	2	4958	TDM
Leticia Rocha	Normal	3	4276	MKT
Davi Lucca Rodrigues	Normal	3	5971	EC
Pietra Nascimento	Normal	3	3496	EI
Erick Fernandes	Normal	2	32322	EA
Joao Gabriel Gomes	Normal	3	4275	EI
Matheus da Rocha	Normal	2	3535	TUR
Caua Vieira	Normal	2	6000	MKT
Joao Miguel Campos	Normal	2	5504	TDM
Raul Mendes	Normal	3	3138	EC
Bruna Fogaca	Normal	3	4569	MKT
Ana Livia Alves	Normal	3	3997	CONT
Lucas da Rosa	Normal	1	4712	GE
Isabella Peixoto	Normal	1	5164	TDM
Marina Costa	Normal	3	3662	EA
Lucas Alves	Normal	3	4466	TUR
Larissa Pereira	Normal	1	5692	EA
Augusto da Luz	Normal	2	3732	TDM
Lais Cardoso	Normal	1	3739	GE
Yasmin da Paz	Normal	2	4452	EA
Danilo Gomes	Normal	1	5231	GI
Gustavo Henrique Rocha	Normal	3	4770	CONT
Clarice da Cruz	Normal	3	5588	TUR
Gabriela Cavalcanti	Normal	1	5961	TUR
Samuel Martins	Normal	1	31333	GE
Antonio Alves	Normal	2	4977	EI
Fernando Viana	Normal	2	5122	TUR
Vitor da Cunha	Normal	1	5284	EA
Vinicius Pereira	Normal	3	18673	EC
Mariana da Mota	Normal	3	3184	TDM
Samuel da Mata	Normal	2	5888	GI
Vitoria da Conceicao	Normal	1	5323	EI
Nina Dias	Normal	1	4518	CONT
Thomas Pinto	Normal	1	4832	MKT
Caroline Alves	Normal	2	5664	EM
Larissa Alves	Normal	2	5397	TDM
Leticia Cunha	Normal	3	16141	GE
Ana Clara Cardoso	Normal	2	4991	MKT
Guilherme Sales	Normal	2	4265	MKT
Alexia Fogaca	Normal	3	5351	TDM
Francisco Fernandes	Normal	1	5776	EC
Bianca Ramos	Normal	3	3495	MKT
Fernanda Farias	Normal	1	5769	GE
Ana Julia Souza	Normal	3	4153	EA
Ana Costela	Normal	2	4421	MKT
Caio Teixeira	Normal	1	4369	GE
Kevin das Neves	Normal	3	3970	TUR
Emanuella Santos	Normal	3	4498	EE
Vinicius Correia	Normal	1	4630	EC
Davi Luiz Fogaca	Normal	3	3524	TUR
Paulo Carvalho	Normal	1	5246	EM
Maysa Moreira	Normal	3	5836	GI
Agatha Azevedo	Normal	3	3382	EA
Carlos Eduardo das Neves	Normal	1	4057	GI
Alice Lima	Normal	3	5711	GE
Enrico Lima	Normal	3	5716	MKT
Mariana Santos	Normal	3	4323	EC
Erick da Cunha	Normal	1	4974	TUR
Enzo Gabriel Silva	Normal	1	4502	EE
Lara Correia	Normal	2	4095	EE
Emanuel Nunes	Normal	1	4070	MKT
Fernando Costela	Normal	2	5348	EM
Pietro Mendes	Normal	3	5562	MKT
Ana Teixeira	Normal	2	5009	MKT
Vinicius Porto	Normal	1	4335	GI
Stella Araujo	Normal	1	8711	TDMO
Joao Gabriel da Rosa	Normal	2	5696	GE
Isabella da Rosa	Normal	1	5475	TDMO
Maite Moura	Normal	1	5232	TUR
Milena da Paz	Normal	1	4385	EI
Amanda Santos	Normal	1	3618	EI
Esther Silva	Normal	1	5874	GE
Joao Lucas Cardoso	Normal	2	4709	EC
Sarah Duarte	Normal	3	4185	TDMO
Gustavo Henrique Porto	Normal	3	4621	CONT
Ana Julia Nunes	Normal	2	4268	GI
Lucas Gabriel Araujo	Normal	2	29253	MKT
Kamilly Pires	Normal	1	3222	GE
Bruno Lopes	Normal	3	5465	CONT
Marcela Novaes	Normal	3	5509	TDMO
Joao Pedro Pires	Normal	2	3664	EA
Benjamin da Rosa	Normal	1	3124	GE
Augusto Freitas	Normal	2	3451	EA
Ana Sophia Nogueira	Normal	1	5882	GI
Henrique Pinto	Normal	3	5023	TUR
Luiz Felipe da Costa	Normal	1	5972	MKT
Matheus Nogueira	Normal	3	5203	GI
Leonardo Cardoso	Normal	1	4429	EA
Isaac Ferreira	Normal	1	4726	GI
Marcelo Martins	Normal	2	5828	EA
Thomas Barros	Normal	3	5331	TDM
Elisa da Costa	Normal	1	5605	MKT
Catarina Rezende	Normal	2	3073	TDM
Daniel Nogueira	Normal	1	4980	GI
Joao Guilherme da Paz	Normal	1	5466	TUR
Catarina da Rosa	Normal	2	3109	EA
Erick Dias	Normal	1	5250	EE
Lorenzo das Neves	Normal	1	3013	MKT
Joao Guilherme Pinto	Normal	1	5265	EM
Sarah Costela	Normal	2	3194	EE
Davi Luiz Moreira	Normal	1	5375	EM
Stephany Cavalcanti	Normal	3	5453	GI
Isabelly Martins	Normal	3	5804	TDMO
Lucca Fernandes	Normal	3	7868	EA
Joana Campos	Normal	1	4885	MKT
Thiago Souza	Normal	2	5277	EC
Calebe Costa	Normal	3	5777	EA
Alexandre da Mata	Normal	1	5496	CONT
Gustavo Henrique Barbosa	Normal	3	4972	TDMO
Eduarda Gomes	Normal	2	5910	TDM
Heloisa Pinto	Normal	3	4481	EI
Diogo Martins	Normal	1	26547	TUR
Lais Monteiro	Normal	2	28644	EC
Rodrigo Ribeiro	Normal	1	5698	CONT
Pedro Moraes	Normal	3	33662	GE
Maria Eduarda Ramos	Normal	1	5192	TDM
Joaquim Moraes	Normal	2	5376	TUR
Joaquim das Neves	Normal	3	4985	EI
Brenda da Mata	Normal	1	3324	CONT
Ana Julia Viana	Normal	1	3746	MKT
Nina Pereira	Normal	3	4573	MKT
Joana Correia	Normal	3	3344	EI
Leticia da Cunha	Normal	1	5279	CONT
Luna Correia	Normal	3	4739	MKT
Luiza Correia	Normal	3	3537	EE
Sofia Fogaca	Normal	1	33757	GE
Luna Moura	Normal	1	21037	MKT
Joao Pedro Ferreira	Normal	2	4563	EM
